# uptime_s	gc_id	pre_MB	post_MB	cap_MB	kind
357.351	421	2641	1625	3660	Young
360.382	423	2753	1979	3660	Young
364.932	425	3469	2287	4212	Young
368.865	427	3605	2545	4212	Young
371.171	429	2941	1259	3480	Young
372.325	430	1825	1011	3480	Mixed
377.261	432	2163	1309	3940	Young
381.710	434	2527	1655	3940	Young
383.952	436	2569	1877	4452	Young
387.991	438	2623	2175	4452	Young
391.511	440	3301	2513	4452	Young
395.686	442	3863	2525	4452	Young
395.968	444	2658	804	2360	Young
398.484	445	2406	792	2508	Mixed
